Neighborhood,latitude,longitude,Hospitals,Labels
A. S. Rao Nagar,17.411200000000065,78.50824000000007,13,2
A.C. Guards,17.392977027745946,78.45686724051741,24,0
Abhyudaya Nagar,17.337650000000053,78.56414000000007,7,1
Abids,17.389800000000037,78.47658000000007,26,0
Adikmet,17.410610000000073,78.51513000000007,11,2
Afzal Gunj,17.37751000000003,78.48005000000006,23,0
Aghapura,17.387364823969634,78.46698706221379,14,2
"Aliabad, Hyderabad",17.34259000000003,78.47626000000008,0,1
Alijah Kotla,17.36068000000006,78.47998000000007,6,1
Allwyn Colony,17.503370000000075,78.41602000000006,4,1
Alwal,17.535430000000073,78.54427000000005,0,1
Amberpet,17.385820000000027,78.51836000000003,2,1
Ameerpet,17.435350000000025,78.44861000000003,27,0
"Ashok Nagar, Hyderabad",17.407840000000018,78.49150000000003,28,0
Asif Nagar,17.385140000000035,78.44738000000007,13,2
Attapur,17.369170000000054,78.43683000000004,2,1
"Azamabad, Hyderabad",17.40710000000007,78.50233000000003,20,0
Azampura,17.372720000000072,78.49047000000007,11,2
Badichowdi,17.38897000000003,78.48681000000005,27,0
Bagh Lingampally,17.39931000000007,78.49964000000007,26,0
Bairamalguda,17.339920000000063,78.54553000000004,2,1
Balkampet,17.448510000000056,78.44924000000003,22,0
Banjara Hills,17.415350000000046,78.43435000000005,24,0
"Bank Street, Hyderabad",17.38859199570786,78.47665099785392,26,0
"Barkas, Hyderabad",17.31594000000007,78.48107000000005,0,1
Barkatpura,17.39321000000007,78.49922000000005,23,0
Basheerbagh,17.40211000000005,78.47770000000007,26,0
Bazarghat,17.398102938723884,78.46271999999998,28,0
Begum Bazaar,17.373500000000035,78.46905000000005,15,2
Begumpet,17.447290000000063,78.45396000000005,15,2
Bharat Nagar,17.528340000000068,78.52504000000005,0,1
"BHEL Township, Hyderabad",17.505990000000054,78.30454000000003,1,1
BJR Nagar,17.41257000000007,78.40519000000006,14,2
Boggulkunta,17.39137000000005,78.48023000000006,27,0
Borabanda,17.45270000000005,78.41256000000004,2,1
Bowenpally,17.46911478425087,78.48988916693379,12,2
Brahman Vaadi,17.37805000000003,78.51445000000007,13,2
Chaderghat,17.37733000000003,78.48974000000005,13,2
Champapet,17.34767000000005,78.51552000000005,6,1
Chanchalguda,17.36918000000003,78.49557000000004,13,2
Chandrayan Gutta,17.315820000000027,78.47764000000006,0,1
Chatta Bazaar,17.370160000000055,78.47805000000005,19,2
Cherlapally,17.466480000000047,78.59999000000005,0,1
Chikkadpally,17.40301000000005,78.49792000000008,26,0
Chilkalguda,17.426750000000027,78.51229000000006,8,1
Chintal Basti,17.406620000000032,78.45659000000006,28,0
Chintalakunta,17.33862000000005,78.55741000000006,5,1
Dabirpura,17.366180000000046,78.48736000000008,8,1
Dar-ul-Shifa,17.372000000000067,78.48474000000004,9,2
Dhoolpet,17.374070000000074,78.45992000000007,2,1
Dilsukhnagar,17.368570000000037,78.53515000000004,19,2
Domalguda,17.409950000000038,78.48229000000003,26,0
ECIL 'X' Roads,17.2526688206659,78.37897588450056,1,1
Edi Bazar,17.344520000000045,78.49419000000006,0,1
Erragadda,17.45333000000005,78.43034000000007,16,2
"Fateh Nagar, Hyderabad",17.458410000000068,78.45181000000008,1,1
Ferozguda,17.474119776074918,78.4263866676837,0,1
Film Nagar,17.413910000000044,78.40547000000005,15,2
Gachibowli,17.431810000000038,78.38636000000008,1,1
Gaddiannaram,17.365000000000066,78.52618000000007,22,0
Golnaka,17.391920000000027,78.50564000000007,18,2
Goshamahal,17.382100000000037,78.47062000000005,16,2
Gudimalkapur,17.384020000000078,78.43767000000008,6,1
Gulzar Houz,17.36259000000007,78.47727000000003,13,2
Habsiguda,17.417120000000068,78.54350000000005,9,2
Hafeezpet,17.489900000000034,78.35220000000005,15,2
Hasmathpet,17.482200000000034,78.48605000000003,0,1
Hastinapuram,17.32830000000007,78.54942000000005,0,1
Hayathnagar,17.32707000000005,78.60533000000005,2,1
"Himayatnagar, Hyderabad",17.404860000000042,78.48121000000003,26,0
HITEC City,17.429230000000075,78.37495000000007,4,1
Hyderguda,17.399230000000045,78.48073000000005,26,0
IDA Bollaram,17.55403000000007,78.34459000000005,0,1
Izzat Nagar,17.46652000000006,78.37549000000007,8,1
Jahanuma,17.341389000000003,78.4655145,0,1
Jalal Baba Nagar,17.354420000000058,78.43255000000005,4,1
Jamia Osmania,17.421962781098784,78.52559087519433,11,2
Jeedimetla,17.521830000000026,78.45433000000007,1,1
Jubilee Hills,17.428650000000058,78.39762000000006,8,1
Kachiguda,17.386880000000072,78.49553000000003,27,0
"Kamala Nagar, Hyderabad",17.36561000000006,78.53305000000006,21,0
Kapra,17.478377834821764,78.56366184141163,15,2
"Karkhana, Secunderabad",17.45810000000006,78.49908000000005,26,0
Karmanghat,17.340610000000027,78.53258000000005,2,1
Karwan,17.37907000000007,78.43668000000008,1,1
Kavadiguda,17.42262000000005,78.48939000000007,10,2
Khairtabad,17.405920000000037,78.45856000000003,28,0
Khajaguda,17.417630000000027,78.36557000000005,1,1
Khilwat,17.354960000000062,78.47029000000003,6,1
"Kings Colony, Shastripuram",17.325980000000072,78.4473500000001,0,1
Kompally,17.533180000000073,78.48102000000007,3,1
"Kondapur, Ranga Reddy district",17.466600000000025,78.35685000000007,8,1
"Kothapet, Hyderabad",17.36883000000006,78.54229000000005,14,2
"Koti, Hyderabad",17.385940000000062,78.48338000000007,26,0
"Krishna Nagar, Hyderabad",17.427540000000025,78.42063000000007,20,0
Kukatpally,17.48735000000005,78.42087000000005,4,1
Kushaiguda,17.481130000000064,78.58370000000008,0,1
Laad Bazaar,17.361450000000048,78.47209000000005,13,2
Lab quarters,17.49051652596792,78.39197805107045,26,0
Lakdi ka pul,17.405050000000074,78.46289000000007,25,0
Lal Bahadur Nagar,17.377630000000067,78.44237000000005,1,1
Lal Darwaza,17.342267202744363,78.47849038014827,0,1
Lallaguda,17.440300000000036,78.52791000000008,2,1
Langar Houz,17.382084855466854,78.4220637656243,4,1
"Laxminagar Colony, Mehdipatnam",17.58319000000006,78.42270000000008,0,1
"Lingampally, Hyderabad",17.396690000000035,78.49389000000008,27,0
Lingojiguda,17.350670000000036,78.53404000000006,3,1
Lothkunta,17.494050000000072,78.51514000000003,2,1
Madannapet,17.357880000000026,78.50171000000007,5,1
Madeenaguda,17.493000000000052,78.34343000000007,19,2
Madhapur,17.456940000000028,78.39013000000007,12,2
"Madina, Hyderabad",17.396090000000072,78.40517000000007,4,1
Madinaguda,17.493000000000052,78.34343000000007,19,2
Maharajgunj,17.37928000000005,78.47749000000005,22,0
Mahatma Gandhi Road (Secunderabad),17.428581009624978,78.48784108284617,11,2
Malakpet,17.374930000000063,78.51567000000007,16,2
Malkajgiri,17.447370000000035,78.53520000000003,4,1
Malkajgiri mandal,17.447370000000035,78.53520000000003,4,1
Mallapur,17.450017412864128,78.60936126045274,0,1
Mallepally,17.391860000000065,78.45905000000005,24,0
Manikonda,17.40139000000005,78.39163000000008,3,1
Manovikas Nagar,17.465610000000027,78.49327000000005,22,0
Marredpally,17.447770000000048,78.50873000000007,23,0
Masab Tank,17.400930000000074,78.45362000000007,28,0
"Mehboob ki Mehendi, Hyderabad",17.362014974445742,78.47079645926614,13,2
Mehdipatnam,17.392630000000054,78.44219000000005,21,0
Mettuguda,17.42774000000003,78.52892000000007,14,2
"Minister Road, Hyderabad",17.432742770260056,78.48454194728603,16,2
Mir Alam Tank,17.35510927993947,78.45412282814529,2,1
Miyapur,17.421020000000055,78.58244000000008,1,1
Moazzam Jahi Market,17.384480000000053,78.47442000000007,17,2
Moghalpura,17.35868000000005,78.47712000000007,5,1
Moosapet,17.46705000000003,78.42858000000007,1,1
Moosarambagh,17.37077000000005,78.51818000000003,19,2
Moti Nagar (Hyderabad),17.45397645965036,78.4181398069928,6,1
Moula-Ali,17.465770000000074,78.56018000000007,5,1
Musheerabad,17.414690000000064,78.50148000000007,14,2
Mylargadda,17.428390000000036,78.51606000000005,5,1
Nacharam,17.43351000000007,78.56673000000006,1,1
"Nagaram, Medchal–Malkajgiri district",17.609930000000073,78.49122000000007,0,1
Nagole,17.378930000000025,78.56204000000008,1,1
Nalgonda 'X' Roads,17.375388033134033,78.49848720662679,13,2
Nallakunta,17.397490000000058,78.50238000000007,25,0
Namalagundu,17.423410000000047,78.51534000000005,5,1
"Nampally, Hyderabad",17.38897000000003,78.46733000000006,13,2
Nanakramguda,17.41399000000007,78.34580000000005,1,1
Nanalnagar,17.394450000000063,78.42789000000005,11,2
Narayanguda,17.396420000000035,78.48842000000008,27,0
Nawab Saheb Kunta,17.33934000000005,78.45897000000008,0,1
Nayapul,17.369629043166984,78.4767926049979,18,2
Neredmet,17.477176500000006,78.52847850000002,5,1
Neredmet Kakatiya Nagar,17.410990000000027,78.61091000000005,0,1
Nizampet,17.51833000000005,78.38186000000006,5,1
Noorkhan Bazar,17.37182000000007,78.48544000000005,9,2
Padmanabha Nagar Colony,17.391590000000065,78.42872000000007,10,2
Padmarao Nagar,17.42616000000004,78.50686000000006,10,2
Pan bazar,17.433790000000045,78.49222000000003,27,0
Parsigutta,17.416630000000055,78.51093000000003,7,1
Patancheru,17.526770000000056,78.25234000000006,0,1
Patny,17.442320000000052,78.49617000000006,24,0
Pisal Banda,17.394870000000026,78.47076000000004,26,0
Pragathi Nagar,17.51425000000006,78.39150000000006,5,1
Prakash Nagar,17.360690000000037,78.41634000000005,1,1
Punjagutta,17.42616000000004,78.45210000000003,25,0
Purana pul,17.310670818114957,78.43902469698085,0,1
Putlibowli,17.382149170740767,78.48172201123923,21,0
Quthbullapur,17.505360000000053,78.46749000000004,4,1
Radha Krishna Nagar,17.458160000000078,78.53478000000007,6,1
Raidurg,17.425110000000075,78.39522000000005,1,1
Raj Bhavan Road,17.41347450000001,78.45983100000002,28,0
"Ramachandrapuram, Medak district",17.51159000000007,78.29431000000005,0,1
Ramanthapur,17.390320000000028,78.54544000000004,1,1
"Ramnagar, Hyderabad",17.411200000000065,78.50824000000007,13,2
Rani Gunj,17.43225000000007,78.49144000000007,25,0
Rastrapathi Road,17.429208019348323,78.49050003385958,9,2
"Red Hills, Hyderabad",17.397410000000036,78.46274000000005,27,0
Rein Bazar,17.355540000000072,78.49756000000008,3,1
Risala Bazar,17.386470000000028,78.40510000000006,1,1
RTC X Roads,17.2526688206659,78.37897588450056,1,1
Safilguda,17.46643000000006,78.53565000000003,2,1
Saidabad,17.36357000000004,78.50918000000007,4,1
Saifabad,17.405390000000068,78.47138000000007,26,0
Sainikpuri,17.477176500000006,78.52847850000002,5,1
Sanathnagar,17.458760000000037,78.44310000000007,6,1
Sanghi Nagar,17.40203384194767,78.4570693060353,27,0
Sanjeeva Reddy Nagar,17.444380000000027,78.44724000000008,27,0
Santoshnagar,17.392100000000028,78.43765000000008,19,2
Saroornagar,17.354420000000058,78.53921000000008,6,1
Secunderabad,17.442000000000064,78.50192000000004,26,0
Serilingampally,17.482160000000018,78.32300000000005,0,1
Shah-Ali-Banda,17.357390000000063,78.47320000000008,6,1
Shahran Market,17.364490000000046,78.47529000000003,17,2
Shanker Mutt,17.433300000000028,78.49037000000004,26,0
Shivam Road,17.39255807574325,78.51086100000003,11,2
Shyam Rao Nagar,17.455470000000048,78.54389000000003,6,1
Sikh Village,17.458700000000018,78.49308000000008,26,0
Silpa Avenue Colony,17.482960000000052,78.37426000000005,1,1
"Sindhi Colony, Secunderabad",17.442930000000047,78.48041000000006,18,2
Sitaphalmandi,17.428000000000054,78.51700000000005,6,1
Somajiguda,17.420720000000074,78.46300000000008,27,0
Srinagar colony,17.395160000000033,78.58879000000006,3,1
Suchitra Center,17.500190000000032,78.47688000000005,5,1
Sultan Bazar,17.386610000000076,78.48354000000006,27,0
Tarnaka,17.42792000000003,78.54313000000008,17,2
Tilaknagar,17.392610000000047,78.50719000000005,16,2
Tirumalagiri,17.486853087425715,78.39765248320738,25,0
Tolichowki,17.399830000000065,78.41169000000008,6,1
Udden Gadda,17.394870000000026,78.47076000000004,26,0
Umdanagar,17.295950000000058,78.41551000000005,0,1
Uppal Kalan,17.415830000000025,78.56949000000003,3,1
Uppuguda,17.35005000000007,78.48853000000008,1,1
Vanasthalipuram,17.32236000000006,78.57621000000006,0,1
Vasavi Colony,17.36534000000006,78.54858000000007,14,2
Vidyanagar,17.404610000000048,78.51032000000005,16,2
Vikrampuri,17.41673000000003,78.54323000000005,10,2
Warsiguda,17.419350000000065,78.51887000000005,2,1
Yakutpura,17.360920000000018,78.49083000000007,6,1
Yapral,17.514290000000074,78.52365000000003,2,1
Yellareddyguda,17.433920000000054,78.43468000000007,27,0
Yousufguda,17.43835000000007,78.42855000000003,9,2
